,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,0,CHEMBL1087626,FC(F)(F)c1cccc(Nc2nc(-c3ccc(Cl)cc3)cs2)c1,intermediate,354.784,6.225900000000003,1.0,3.0,5.080921907623926
1,1,CHEMBL1076555,Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,active,302.78600000000006,4.912700000000002,2.0,4.0,7.154901959985743
2,2,CHEMBL1080890,Nc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,active,301.802,4.789300000000002,2.0,4.0,7.096910013008056
3,3,CHEMBL1080392,CC(=O)Nc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,intermediate,343.839,5.165500000000002,2.0,4.0,5.0
4,4,CHEMBL1076549,NC(=O)c1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,inactive,329.812,4.306000000000002,2.0,4.0,4.698970004336019
5,5,CHEMBL562493,Oc1ccc(Nc2nc(-c3ccccc3)cs2)cc1,active,268.34100000000007,4.259300000000001,2.0,4.0,6.721246399047171
6,6,CHEMBL1081262,Oc1ccc(Nc2nc(-c3cccs3)cs2)cc1,active,274.37000000000006,4.320800000000001,2.0,5.0,6.958607314841775
7,7,CHEMBL579212,Oc1ccc(Nc2nc(-c3ccccn3)cs2)cc1,active,269.32900000000006,3.654300000000001,2.0,5.0,6.638272163982407
8,8,CHEMBL373909,Oc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,active,269.32900000000006,3.654300000000001,2.0,5.0,6.522878745280337
9,9,CHEMBL565257,Oc1ccc(Nc2nc(-c3ccncc3)cs2)cc1,active,269.32900000000006,3.654300000000001,2.0,5.0,6.5376020021010435
10,10,CHEMBL1076559,Oc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,intermediate,318.40100000000007,5.412500000000002,2.0,4.0,5.886056647693163
11,11,CHEMBL1081276,Oc1ccc(Nc2nc(-c3ccccc3F)cs2)cc1,active,286.331,4.398400000000001,2.0,4.0,6.443697499232712
12,12,CHEMBL1081115,COc1ccccc1-c1csc(Nc2ccc(O)cc2)n1,active,298.367,4.267900000000003,2.0,5.0,6.173925197299173
13,13,CHEMBL1081116,Oc1ccc(Nc2nc(-c3ccccc3C(F)(F)F)cs2)cc1,intermediate,336.338,5.278100000000001,2.0,4.0,5.568636235841013
14,14,CHEMBL1081463,O=[N+]([O-])c1cccc(-c2csc(Nc3ccc(O)cc3)n2)c1,active,313.338,4.167500000000001,2.0,6.0,6.119186407719209
15,15,CHEMBL1081626,Oc1ccc(Nc2nc(-c3cccc(O)c3)cs2)cc1,active,284.34000000000003,3.964900000000001,3.0,5.0,6.920818753952375
16,16,CHEMBL1081627,N#Cc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,active,293.351,4.130980000000002,2.0,5.0,6.7447274948966935
17,17,CHEMBL1081480,COc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,intermediate,298.367,4.267900000000003,2.0,5.0,5.698970004336019
18,18,CHEMBL1081482,Oc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,active,337.23100000000005,5.566100000000002,2.0,4.0,6.366531544420414
19,19,CHEMBL1076570,Oc1ccc(Nc2ncc(-c3ccccc3)o2)cc1,active,252.27300000000002,3.7908000000000017,2.0,4.0,7.040958607678906
20,20,CHEMBL1081994,COc1ccccc1-c1cnc(Nc2ccc(O)cc2)o1,active,282.29900000000004,3.799400000000002,2.0,5.0,6.920818753952375
21,21,CHEMBL1082173,Oc1ccc(Nc2ncc(-c3cccc(Cl)c3)o2)cc1,active,286.718,4.444200000000001,2.0,4.0,6.853871964321762
22,22,CHEMBL1082174,COc1cccc(-c2cnc(Nc3ccc(O)cc3)o2)c1,active,282.29900000000004,3.799400000000001,2.0,5.0,6.769551078621726
23,23,CHEMBL1082175,O=C(O)c1cccc(-c2cnc(Nc3ccc(O)cc3)o2)c1,active,296.28200000000004,3.4890000000000008,3.0,5.0,6.721246399047171
24,24,CHEMBL1076585,Oc1ccc(Nc2ncc(-c3ccc(Cl)cc3)o2)cc1,active,286.718,4.444200000000001,2.0,4.0,6.481486060122113
