activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,3194927,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,FC(F)(F)c1cccc(Nc2nc(-c3ccc(Cl)cc3)cs2)c1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '14.32', 'le': '0.30', 'lle': '-1.15', 'sei': '20.39'}",CHEMBL1087626,,CHEMBL1087626,5.08,False,http://www.openphacts.org/units/Nanomolar,892931,=,1,True,=,,IC50,nM,,8300.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,8.3
,3194928,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '23.63', 'le': '0.49', 'lle': '2.24', 'sei': '15.85'}",CHEMBL1076555,,CHEMBL1076555,7.16,False,http://www.openphacts.org/units/Nanomolar,891693,=,1,True,=,,IC50,nM,,70.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.07
,3194929,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '23.52', 'le': '0.48', 'lle': '2.31', 'sei': '13.93'}",CHEMBL1080890,,CHEMBL1080890,7.10,False,http://www.openphacts.org/units/Nanomolar,891694,=,1,True,=,,IC50,nM,,80.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.08
,3194930,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)Nc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,,CHEMBL1080392,,CHEMBL1080392,,False,http://www.openphacts.org/units/Nanomolar,891696,>,1,True,>,,IC50,nM,,10000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,10.0
,3194931,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)c1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,,CHEMBL1076549,,CHEMBL1076549,,False,http://www.openphacts.org/units/Nanomolar,891771,>,1,True,>,,IC50,nM,,20000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,20.0
,3194932,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3ccccc3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '25.05', 'le': '0.48', 'lle': '2.46', 'sei': '14.89'}",CHEMBL562493,,CHEMBL562493,6.72,False,http://www.openphacts.org/units/Nanomolar,891773,=,1,True,=,,IC50,nM,,190.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.19
,3194933,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3cccs3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '25.36', 'le': '0.53', 'lle': '2.64', 'sei': '15.41'}",CHEMBL1081262,,CHEMBL1081262,6.96,False,http://www.openphacts.org/units/Nanomolar,891774,=,1,True,=,,IC50,nM,,110.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.11
,3194934,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3ccccn3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '24.65', 'le': '0.48', 'lle': '2.99', 'sei': '11.44'}",CHEMBL579212,,CHEMBL579212,6.64,False,http://www.openphacts.org/units/Nanomolar,891775,=,1,True,=,,IC50,nM,,230.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.23
,3194935,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '24.22', 'le': '0.47', 'lle': '2.87', 'sei': '11.24'}",CHEMBL373909,,CHEMBL373909,6.52,False,http://www.openphacts.org/units/Nanomolar,891776,=,1,True,=,,IC50,nM,,300.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.3
,3194936,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3ccncc3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '24.27', 'le': '0.47', 'lle': '2.89', 'sei': '11.26'}",CHEMBL565257,,CHEMBL565257,6.54,False,http://www.openphacts.org/units/Nanomolar,891846,=,1,True,=,,IC50,nM,,290.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.29
,3194937,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '18.49', 'le': '0.35', 'lle': '0.48', 'sei': '13.04'}",CHEMBL1076559,,CHEMBL1076559,5.89,False,http://www.openphacts.org/units/Nanomolar,891847,=,1,True,=,,IC50,nM,,1300.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,1.3
,3194938,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3ccccc3F)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '22.50', 'le': '0.44', 'lle': '2.04', 'sei': '14.27'}",CHEMBL1081276,,CHEMBL1081276,6.44,False,http://www.openphacts.org/units/Nanomolar,891848,=,1,True,=,,IC50,nM,,360.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.36
,3194939,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1-c1csc(Nc2ccc(O)cc2)n1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '20.69', 'le': '0.40', 'lle': '1.90', 'sei': '11.35'}",CHEMBL1081115,,CHEMBL1081115,6.17,False,http://www.openphacts.org/units/Nanomolar,891849,=,1,True,=,,IC50,nM,,670.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.67
,3194940,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3ccccc3C(F)(F)F)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '16.56', 'le': '0.33', 'lle': '0.29', 'sei': '12.33'}",CHEMBL1081116,,CHEMBL1081116,5.57,False,http://www.openphacts.org/units/Nanomolar,891850,=,1,True,=,,IC50,nM,,2700.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,2.7
,3194941,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=[N+]([O-])c1cccc(-c2csc(Nc3ccc(O)cc3)n2)c1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '19.53', 'le': '0.38', 'lle': '1.95', 'sei': '6.93'}",CHEMBL1081463,,CHEMBL1081463,6.12,False,http://www.openphacts.org/units/Nanomolar,891921,=,1,True,=,,IC50,nM,,760.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.76
,3194942,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3cccc(O)c3)cs2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '24.34', 'le': '0.47', 'lle': '2.96', 'sei': '10.59'}",CHEMBL1081626,,CHEMBL1081626,6.92,False,http://www.openphacts.org/units/Nanomolar,891922,=,1,True,=,,IC50,nM,,120.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.12
,3194943,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '22.99', 'le': '0.44', 'lle': '2.61', 'sei': '9.78'}",CHEMBL1081627,,CHEMBL1081627,6.75,False,http://www.openphacts.org/units/Nanomolar,891923,=,1,True,=,,IC50,nM,,180.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,0.18
,3194944,[],CHEMBL1102721,Inhibition of VCP assessed as conversion of ATP to ADP by enzyme coupled glucokinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,,,CHEMBL1154941,Bioorg. Med. Chem. Lett.,2010.0,"{'bei': '19.10', 'le': '0.37', 'lle': '1.43', 'sei': '10.48'}",CHEMBL1081480,,CHEMBL1081480,5.70,False,http://www.openphacts.org/units/Nanomolar,892009,=,1,True,=,,IC50,nM,,2000.0,CHEMBL1075145,Homo sapiens,Transitional endoplasmic reticulum ATPase,9606,,,IC50,uM,UO_0000065,,2.0
