index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
0,CHEMBL1087626,FC(F)(F)c1cccc(Nc2nc(-c3ccc(Cl)cc3)cs2)c1,8300.0,intermediate
1,CHEMBL1076555,Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,70.0,active
2,CHEMBL1080890,Nc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,80.0,active
3,CHEMBL1080392,CC(=O)Nc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,10000.0,intermediate
4,CHEMBL1076549,NC(=O)c1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,20000.0,inactive
5,CHEMBL562493,Oc1ccc(Nc2nc(-c3ccccc3)cs2)cc1,190.0,active
6,CHEMBL1081262,Oc1ccc(Nc2nc(-c3cccs3)cs2)cc1,110.0,active
7,CHEMBL579212,Oc1ccc(Nc2nc(-c3ccccn3)cs2)cc1,230.0,active
8,CHEMBL373909,Oc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,300.0,active
9,CHEMBL565257,Oc1ccc(Nc2nc(-c3ccncc3)cs2)cc1,290.0,active
10,CHEMBL1076559,Oc1ccc(Nc2nc(-c3ccc4ccccc4c3)cs2)cc1,1300.0,intermediate
11,CHEMBL1081276,Oc1ccc(Nc2nc(-c3ccccc3F)cs2)cc1,360.0,active
12,CHEMBL1081115,COc1ccccc1-c1csc(Nc2ccc(O)cc2)n1,670.0,active
13,CHEMBL1081116,Oc1ccc(Nc2nc(-c3ccccc3C(F)(F)F)cs2)cc1,2700.0,intermediate
14,CHEMBL1081463,O=[N+]([O-])c1cccc(-c2csc(Nc3ccc(O)cc3)n2)c1,760.0,active
15,CHEMBL1081626,Oc1ccc(Nc2nc(-c3cccc(O)c3)cs2)cc1,120.0,active
16,CHEMBL1081627,N#Cc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,180.0,active
17,CHEMBL1081480,COc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,2000.0,intermediate
18,CHEMBL1081482,Oc1ccc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)cc1,430.0,active
19,CHEMBL1076570,Oc1ccc(Nc2ncc(-c3ccccc3)o2)cc1,91.0,active
20,CHEMBL1081994,COc1ccccc1-c1cnc(Nc2ccc(O)cc2)o1,120.0,active
21,CHEMBL1082173,Oc1ccc(Nc2ncc(-c3cccc(Cl)c3)o2)cc1,140.0,active
22,CHEMBL1082174,COc1cccc(-c2cnc(Nc3ccc(O)cc3)o2)c1,170.0,active
23,CHEMBL1082175,O=C(O)c1cccc(-c2cnc(Nc3ccc(O)cc3)o2)c1,190.0,active
24,CHEMBL1076585,Oc1ccc(Nc2ncc(-c3ccc(Cl)cc3)o2)cc1,330.0,active
25,CHEMBL1082184,Oc1ccc(Nc2ncc(-c3ccc(N4CCOCC4)cc3)o2)cc1,130.0,active
26,CHEMBL1082029,CCN(CC)c1ccc(-c2cnc(Nc3ccc(O)cc3)o2)cc1,230.0,active
27,CHEMBL1318338,CCOC(=O)/C(C#N)=C/c1c2ccccc2cc2ccccc12,50000.0,inactive
28,CHEMBL1446122,CCOc1ccc(-c2csc(Nc3ccc(C#N)cc3)n2)cc1,50000.0,inactive
29,CHEMBL1355382,CCOC(=O)/C(C#N)=C/c1ccc(F)cc1[N+](=O)[O-],50000.0,inactive
30,CHEMBL1593304,N#Cc1ccc(Nc2nc(-c3ccc(C#N)cc3)cs2)cc1,50000.0,inactive
31,CHEMBL1434737,N#C/C=C/c1ccccc1Nc1ccc(S(N)(=O)=O)cc1,50000.0,inactive
32,CHEMBL1484797,CCOC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])cc1,50000.0,inactive
33,CHEMBL1373154,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1CCc1ccccc1,50000.0,inactive
34,CHEMBL1364907,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1Cc1ccccc1,50000.0,inactive
35,CHEMBL1593230,N#Cc1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1,4713.0,intermediate
36,CHEMBL1362311,CCOC(=O)/C(C#N)=C/c1sc2ccccc2c1-c1ccccc1,50000.0,inactive
37,CHEMBL1515723,CCOC(=O)/C(C#N)=C/c1c[nH]c2ccc(C#N)cc12,50000.0,inactive
38,CHEMBL1476178,N#Cc1ccc(Nc2nc(-c3cccc(Br)c3)cs2)cc1,50000.0,inactive
39,CHEMBL1314351,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1C,50000.0,inactive
40,CHEMBL1356663,N#CC(C#N)=Cc1c2ccccc2cc2ccccc12,50000.0,inactive
41,CHEMBL1434053,CCOC(=O)/C(C#N)=C/c1ccc(C#N)cc1,50000.0,inactive
42,CHEMBL1490267,N#Cc1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1C(F)(F)F,13490.0,inactive
43,CHEMBL1516388,CC(=O)O.Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,5386.0,intermediate
44,CHEMBL1418796,CC(=O)Oc1cc2c3c(c1)/C(=C1/SC(=S)NC1=O)C(=O)N3C(C)(C)C=C2C,50000.0,inactive
45,CHEMBL239103,NS(=O)(=O)c1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1,24160.0,inactive
46,CHEMBL1399109,O=C(CCl)Nc1nc(-c2ccco2)c(-c2ccco2)s1,50000.0,inactive
47,CHEMBL1458321,O=C(NC1(O)C(=O)c2ccccc2C1=O)c1c(Cl)cccc1Cl,50000.0,inactive
48,CHEMBL1329974,O=C(O)CSc1cc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc2c1O,50000.0,inactive
49,CHEMBL1575869,CCCCn1c(NC(=O)c2ccccc2Cl)c(C#N)c2nc3ccccc3nc21,50000.0,inactive
50,CHEMBL3193664,Oc1ccc(/C=N/Nc2ccnc3cc(Cl)ccc23)cc1O,36480.0,inactive
51,CHEMBL1989852,COc1ccc2ccccc2c1/C=N/NC(=O)c1sc(N)c(C#N)c1C,2584.0,intermediate
52,CHEMBL1529285,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,19000.0,inactive
53,CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,5488.0,intermediate
54,CHEMBL591404,N=C(N)N/N=C/c1ccc(OCc2ccc(Cl)cc2Cl)cc1,50000.0,inactive
55,CHEMBL1499658,COc1cccc(-n2c(SCc3cc(=O)oc4cc(O)c(O)cc34)nc3ccccc3c2=O)c1,21060.0,inactive
56,CHEMBL2001831,O=C(CCl)c1c[nH]c(/C=N/Nc2ccccc2Cl)c1,50000.0,inactive
57,CHEMBL1302170,O=S(=O)(Nc1cc2nc3ccccc3nc2n1Cc1ccccc1)c1ccc(Cl)cc1,50000.0,inactive
58,CHEMBL463175,CC1CC(=O)c2c(cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)CC6=O)c(O)cc(O)c3c2O)O1,43860.0,inactive
59,CHEMBL1333429,COC(=O)c1ccccc1NC(=S)NC(=O)c1ccccc1C,50000.0,inactive
60,CHEMBL1517,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,50000.0,inactive
61,CHEMBL1972037,NS(=O)(=O)c1ccc(N/N=C/c2ccc(O)c(O)c2O)c([N+](=O)[O-])c1,50000.0,inactive
62,CHEMBL1303508,O=C1NC(=S)S/C1=C\c1c(-c2ccccc2)[nH]c2ccccc12,50000.0,inactive
63,CHEMBL601757,Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,50000.0,inactive
64,CHEMBL1462375,Cc1[nH]c2ccccc2c1C(=O)CCl,50000.0,inactive
65,CHEMBL1362734,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3cc(C(F)(F)F)ccc3s2)c(Cl)c1=O,50000.0,inactive
66,CHEMBL1362595,CC(C)c1nc2sc3c(S)ncnc3c2c2c1CCC2,42210.0,inactive
67,CHEMBL1424118,Nc1nc(CCl)nc(Nc2ccc3ccccc3c2)n1,50000.0,inactive
68,CHEMBL1606112,O=C(Nc1ccc(F)cc1)C1C(c2ccccc2)C1(Cl)Cl,50000.0,inactive
69,CHEMBL1532953,CCCCn1c(NS(=O)(=O)c2ccc(C)cc2)c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc21,50000.0,inactive
70,CHEMBL1375922,Fc1ccccc1-c1nc(NCc2ccccc2)c2ccccc2n1,50000.0,inactive
71,CHEMBL2005296,COc1ccc(/C=N/Nc2nnc(-c3ccccc3)c(O)n2)cc1,50000.0,inactive
72,CHEMBL1425538,O=C(O[C@@H]1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@@H]2O)[C@H]1O)c1cc(O)c(O)c(O)c1,4195.0,intermediate
73,CHEMBL1306199,N#Cc1c(NC(=O)c2ccccc2Cl)n(Cc2ccccc2)c2nc3ccccc3nc12,50000.0,inactive
74,CHEMBL1306258,Cc1cc(Nc2ccccc2)nc(-c2ccccc2O)n1,50000.0,inactive
75,CHEMBL1306425,[O-][n+]1onc2c1CCc1[nH]c(-c3ccccc3)nc1-2,50000.0,inactive
76,CHEMBL1560833,Cc1n[nH]c(S/C(=C\c2ccc(-c3ccc(C(=O)O)c(Cl)c3)o2)C(=O)O)n1,50000.0,inactive
77,CHEMBL1416392,CSC1=NSC2=NC(=O)/C(=C\c3c(C)[nH]c4ccccc34)C(=N)N12,21670.0,inactive
78,CHEMBL1504948,Cc1[nH]c2ccccc2c1/C=C1/C(=N)N2C(=NC1=O)SN=C2S(=O)(=O)CC(C)C,12330.0,inactive
79,CHEMBL1426692,N#Cc1c(N2CCCCC2)nc(N)c2c(N)nc(SCC(=O)O)cc12,50000.0,inactive
80,CHEMBL1307594,Oc1cc(CCl)nc2nc3ccccc3n12,50000.0,inactive
81,CHEMBL1404929,O=C(NNc1c2ccccc2nc2ccccc12)c1ccc(O)cc1O,50000.0,inactive
82,CHEMBL1544997,Cn1cc(C(=O)CCl)c2ccccc21,50000.0,inactive
83,CHEMBL1417692,Cc1ccc2[nH]cc(C(=O)CCl)c2c1,50000.0,inactive
84,CHEMBL51931,O=C1C(=O)c2ccccc2-c2ccccc21,50000.0,inactive
85,CHEMBL1484370,Cc1no[n+]([O-])c1COc1ccccc1/C=C1\NC(=S)NC1=O,50000.0,inactive
86,CHEMBL1613272,Cc1ccccc1C(=O)Nc1nc2c(C)csc2c(=O)s1,50000.0,inactive
87,CHEMBL1418273,COc1ccccc1C(=O)Oc1cc(N)n(S(=O)(=O)c2ccc(C)cc2)n1,50000.0,inactive
88,CHEMBL1484618,O=C(OCC(=O)c1c[nH]c2ccccc12)c1ccc([N+](=O)[O-])s1,50000.0,inactive
89,CHEMBL1524172,O=C(O)c1cccc(NN=C2c3ccccc3-c3ccccc32)c1,50000.0,inactive
90,CHEMBL1547025,Cl.c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,50000.0,inactive
91,CHEMBL63354,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,8984.0,intermediate
92,CHEMBL1334062,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2,50000.0,inactive
93,CHEMBL1588106,N=C1/C(=C\c2coc3ccccc3c2=O)C(=O)N=C2SC(c3ccncc3)=NN12,11140.0,inactive
94,CHEMBL1511080,Oc1ccc(Cl)cc1/C=C(\Cl)c1nc(O)c2ccc(Cl)cc2n1,50000.0,inactive
95,CHEMBL1603938,Cc1ccc(C)c(SCC(=O)OC/C(O)=C(\C#N)c2nc3ccccc3[nH]2)c1,50000.0,inactive
96,CHEMBL3199301,Cc1ccc(SC/C(O)=C(\C#N)c2nc3ccccc3s2)cc1,50000.0,inactive
97,CHEMBL1356663,N#CC(C#N)=Cc1c2ccccc2cc2ccccc12,50000.0,inactive
